Url is : https://www.codequotient.com   ./output/1754904254.html , FrequentWord ->codequotient, Count : 54
Url is : https://www.newindianexpress.com/magazine/2017/nov/18/sultans--of-skill-1703090.html   ./output/1754904258.html , FrequentWord ->students, Count : 20
Url is : https://www.newindianexpress.com/magazine/2017/Nov/18/sultans--of-skill-1703090.html   ./output/1754904259.html , FrequentWord ->students, Count : 20
Url is : https://www.newindianexpress.com/amp/story/magazine/2017/Nov/18/sultans--of-skill-1703090.html   ./output/1754904261.html , FrequentWord ->students, Count : 20
Url is : https://www.quintype.com   ./output/1754904262.html , FrequentWord ->quintype, Count : 14
Url is : https://www.newindianexpress.com   ./output/1754904263.html , FrequentWord ->new, Count : 5
Url is : https://api.whatsapp.com/send?text=https%3A%2F%2Fwww.newindianexpress.com%2Fmagazine%2F2017%2FNov%2F18%2Fsultans--of-skill-1703090.html   ./output/1754904265.html , FrequentWord ->whatsapp, Count : 5
Url is : https://www.whatsapp.com   ./output/1754904266.html , FrequentWord ->whatsapp, Count : 5
Url is : https://faq.whatsapp.com   ./output/1754904268.html , FrequentWord ->facebook, Count : 2
Url is : https://blog.whatsapp.com   ./output/1754904269.html , FrequentWord ->portugu, Count : 4
Url is : https://business.whatsapp.com   ./output/1754904271.html , FrequentWord ->facebook, Count : 2
Url is : https://www.whatsapp.com/legal   ./output/1754904272.html , FrequentWord ->business, Count : 16
Url is : https://web.whatsapp.com/send/?text=https%3A%2F%2Fwww.newindianexpress.com%2Fmagazine%2F2017%2FNov%2F18%2Fsultans--of-skill-1703090.html   ./output/1754904274.html , FrequentWord ->whatsapp, Count : 2
Url is : https://web.whatsapp.com   ./output/1754904275.html , FrequentWord ->whatsapp, Count : 2
Url is : https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.newindianexpress.com%2Fmagazine%2F2017%2FNov%2F18%2Fsultans--of-skill-1703090.html   ./output/1754904276.html , FrequentWord ->facebook, Count : 2
Url is : https://www.linkedin.com/feed/update/urn:li:activity:7321073408849387520   ./output/1754904277.html , FrequentWord ->policy, Count : 10
Url is : https://www.linkedin.com/pulse/topics/sales-s5   ./output/1754904278.html , FrequentWord ->customer, Count : 100
Url is : https://www.linkedin.com/pulse/topics/home   ./output/175490428.html , FrequentWord ->contributions, Count : 97
Url is : https://www.linkedin.com/pulse/topics/automotive-electronics-s10213   ./output/1754904282.html , FrequentWord ->automotive, Count : 239
Url is : https://www.linkedin.com/pulse/topics/transport-layer-security-(tls)-s5830   ./output/1754904283.html , FrequentWord ->tls, Count : 100
Url is : https://www.linkedin.com/pulse/topics/hr-management-s50359/hr-consulting-s899   ./output/1754904285.html , FrequentWord ->contributions, Count : 100
Url is : https://www.linkedin.com/pulse/topics/hr-management-s50359   ./output/1754904286.html , FrequentWord ->contributions, Count : 102
Url is : https://www.linkedin.com/pulse/topics/engineering-s166/systems-management-s2568   ./output/1754904288.html , FrequentWord ->system, Count : 97
Url is : https://www.linkedin.com/pulse/topics/engineering-s166   ./output/175490429.html , FrequentWord ->contributions, Count : 98
Url is : https://www.linkedin.com/pulse/topics/soft-skills-s2976/conflict-resolution-s3210   ./output/1754904292.html , FrequentWord ->contributions, Count : 100
Url is : https://www.linkedin.com/pulse/topics/soft-skills-s2976   ./output/1754904294.html , FrequentWord ->team, Count : 107
Url is : https://www.linkedin.com/pulse/topics/business-administration-s50111/customer-service-management-s43716   ./output/1754904296.html , FrequentWord ->contributions, Count : 100
Url is : https://www.linkedin.com/pulse/topics/business-administration-s50111   ./output/1754904299.html , FrequentWord ->business, Count : 177
Url is : https://www.linkedin.com/pulse/topics/engineering-s166/information-systems-s408   ./output/1754904301.html , FrequentWord ->contributions, Count : 93
Url is : https://www.linkedin.com/pulse/topics/public-administration-s3697/philanthropy-s2835   ./output/1754904303.html , FrequentWord ->contributions, Count : 101
Url is : https://www.linkedin.com/pulse/topics/public-administration-s3697   ./output/1754904305.html , FrequentWord ->contributions, Count : 100
Url is : https://www.linkedin.com/pulse/topics/business-process-improvement-s1833   ./output/1754904307.html , FrequentWord ->process, Count : 233
Url is : https://www.linkedin.com/pulse/topics/engineering-s166/mechanics-s2335   ./output/1754904308.html , FrequentWord ->contributions, Count : 92
Url is : https://www.linkedin.com/pulse/topics/nanotechnology-s3405   ./output/1754904311.html , FrequentWord ->nanotechnology, Count : 107
Url is : https://www.linkedin.com/pulse/topics/engineering-s166/product-engineering-s1948   ./output/1754904313.html , FrequentWord ->product, Count : 137
Url is : https://www.linkedin.com/pulse/topics/engineering-s166/telecommunications-engineering-s9046   ./output/1754904315.html , FrequentWord ->contributions, Count : 97
Url is : https://www.linkedin.com/pulse/topics/soft-skills-s2976/presentation-skills-s1933   ./output/1754904317.html , FrequentWord ->contributions, Count : 100
Url is : https://www.linkedin.com/pulse/topics/oil-and-gas-s11305/petroleum-engineering-s5364   ./output/1754904319.html , FrequentWord ->oil, Count : 111
Url is : https://www.linkedin.com/pulse/topics/oil-and-gas-s11305   ./output/175490432.html , FrequentWord ->oil, Count : 113
Url is : https://www.linkedin.com/pulse/topics/soft-skills-s2976/customer-service-s99   ./output/1754904322.html , FrequentWord ->contributions, Count : 100
Url is : https://www.linkedin.com/pulse/topics/art-s205/graphics-s579   ./output/1754904324.html , FrequentWord ->design, Count : 117
Url is : https://www.linkedin.com/pulse/topics/art-s205   ./output/1754904326.html , FrequentWord ->design, Count : 175
Url is : https://www.linkedin.com/pulse/topics/user-interface-design-s1481/user-experience-design-(ued)-s18207   ./output/1754904329.html , FrequentWord ->user, Count : 106
Url is : https://www.linkedin.com/pulse/topics/user-interface-design-s1481   ./output/1754904333.html , FrequentWord ->user, Count : 196
Url is : https://www.linkedin.com/pulse/topics/marketing-s2461/branding-s155   ./output/1754904335.html , FrequentWord ->brand, Count : 164
